URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://android.clients.google.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42839,android.clients.google.com/172.217.17.110,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 22:48:49,,,,,49,22,23,,,,,,,699,0,,345,0,,,
https://android.clients.google.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42837,android.clients.google.com/172.217.17.110,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 22:48:49,,,,,51,26,31,,,,,,,699,0,,345,0,,,
https://android.clients.google.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42841,android.clients.google.com/172.217.17.110,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 22:48:49,,,,,45,20,24,,,,,,,699,0,,345,0,,,
https://android.clients.google.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42843,android.clients.google.com/172.217.17.110,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 22:48:49,,,,,48,25,35,,,,,,,699,0,,345,0,,,
https://app-measurement.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42849,app-measurement.com/172.217.168.206,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 23:43:59,,,,,21,25,53,,,,,,,1042,0,,14592,0,,,
https://play.googleapis.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42851,play.googleapis.com/172.217.20.74,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 23:43:59,,,,,20,23,167,,,,,,,1110,0,,18217,0,,,
https://mobilecrashreporting.googleapis.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42853,mobilecrashreporting.googleapis.com/172.217.17.47,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),28 mei 2019 23:54:11,,,,,29,23,53,,,,,,,1106,0,,18311,0,,,
https://play.googleapis.com,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42861,play.googleapis.com/216.58.211.106,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),29 mei 2019 00:44:01,,,,,32,29,69,,,,,,,1110,0,,18221,0,,,
https://open.oneplus.net,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42865,open.oneplus.net/54.209.188.93,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),29 mei 2019 00:55:52,,,,,67,127,406,,,,,,,1018,0,,16050,0,,,
https://open.oneplus.net,EXCEPTION,200,https,CONNECT,,/192.168.0.214,42871,open.oneplus.net/54.209.188.93,443,com.xk72.proxy.ProxyException: Client SSL handshake failed: An unknown issue occurred processing the certificate (certificate_unknown),29 mei 2019 00:55:54,,,,,2,123,264,,,,,,,1018,0,,16050,0,,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42873,open.oneplus.net/3.95.123.199,443,java.net.ConnectException: Operation timed out (Connection timed out),29 mei 2019 00:56:01,,,29 mei 2019 00:57:23,82267,2,,,,,,0.0107421875,,,,0,,,0,945,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42875,open.oneplus.net/3.95.123.199,443,java.net.SocketException: Network is unreachable (connect failed),29 mei 2019 00:56:39,,,29 mei 2019 00:57:58,79215,2,,,,,,0.0078125,,,,0,,,0,675,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42877,open.oneplus.net/3.95.123.199,443,java.net.SocketException: Network is unreachable (connect failed),29 mei 2019 00:56:59,,,29 mei 2019 00:58:10,71216,2,,,,,,0.0087890625,,,,0,,,0,675,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42879,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:21,,,29 mei 2019 00:57:31,10039,10033,,,,,,0.09082031,,,,0,,,0,942,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42881,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:31,,,29 mei 2019 00:57:31,7,1,,,,,,131.41699,,,,0,,,0,942,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42891,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:38,,,29 mei 2019 00:57:38,11,7,,,,,,83.62891,,,,0,,,0,942,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42893,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:38,,,29 mei 2019 00:57:38,5,1,,,,,,183.98438,,,,0,,,0,942,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42903,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:56,,,29 mei 2019 00:57:56,13,8,,,,,,70.762695,,,,0,,,0,942,,
https://open.oneplus.net,EXCEPTION,503,https,CONNECT,text/html;charset=ISO-8859-1,/192.168.0.214,42905,open.oneplus.net/192.168.0.1,443,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:57:56,,,29 mei 2019 00:57:56,6,2,,,,,,153.32031,,,,0,,,0,942,,
http://connectivitycheck.gstatic.com/generate_204,EXCEPTION,503,http,GET,text/html;charset=ISO-8859-1,/192.168.0.214,42915,connectivitycheck.gstatic.com/192.168.0.1,80,java.net.ConnectException: Connection refused (Connection refused),29 mei 2019 00:58:09,,,29 mei 2019 00:58:09,43,17,,,,,,27.479492,,,,268,,,0,942,,
